Thời gian,thoi_tiet,cong_suat_phat_olt,cong_suat_thua_olt,cong_suat_phat_thiet_bi_dau_cuoi,cong_suat_thu_thiet_bi_dau_cuoi,suy_hao_download,suy_hao_upload,khoang_cach_thue_bao,danh_gia
202105180655,Nắng,3.72,-25.86,2.13,-24.2,27.92,27.99,6980,Đạt
202105180655,Nắng,3.72,-22.52,1.88,-21.02,24.74,24.4,7025,Tốt
202105180655,Nắng,3.72,-25.38,2.09,-22.92,26.64,27.47,8400,Tốt
202105180655,Nắng,3.72,-23.77,2.71,-22.07,25.79,26.48,8472,Tốt
202105180655,Nắng,3.72,-22.37,2.89,-17.77,21.49,25.26,6950,Tốt
202105180655,Nắng,3.72,-26.39,2.3,-23.56,27.28,28.69,8506,Đạt
202105180655,Nắng,3.72,-24.56,2.08,-22.67,26.39,26.64,8487,Tốt
202105180655,Nắng,3.72,-26.2,2.31,-22.67,26.39,28.51,8668,Tốt
202105180655,Nắng,3.72,-22.84,2.35,-22.84,26.56,25.19,7326,Tốt
202105180655,Nắng,3.72,-24.56,2.76,-23.37,27.09,27.32,8557,Đạt
202105180655,Nắng,3.72,-23.19,2.74,-23.87,27.59,25.93,7292,Đạt
202105180655,Nắng,3.72,-26.99,2.86,-23.18,26.9,29.85,8819,Tốt
202105180655,Nắng,3.72,-23.02,2.2,-21.42,25.14,25.22,7330,Tốt
202105180655,Nắng,3.72,-22.68,2.83,-20.04,23.76,25.51,7234,Tốt
202105180655,Nắng,3.72,-22.08,2.82,-22.84,26.56,24.9,7414,Tốt
202105180655,Nắng,3.72,-24.82,2.19,-24.81,28.53,27.01,7861,Đạt
202105180655,Nắng,3.72,-23.1,2.15,-23.56,27.28,25.25,8048,Đạt
202105180655,Nắng,3.72,-25.23,2.58,-24.43,28.15,27.81,7995,Đạt
202105180655,Nắng,3.72,-24.44,2.46,-22.67,26.39,26.9,7766,Tốt
202105180655,Nắng,3.72,-22.52,2.21,-22.59,26.31,24.73,7379,Tốt
202105180655,Nắng,3.72,-24.82,2.44,-23.46,27.18,27.26,8107,Đạt
202105180655,Nắng,3.72,-26.2,2.41,-23.01,26.73,28.61,7945,Tốt
202105180655,Nắng,3.72,-24.95,2.3,-23.37,27.09,27.25,8071,Đạt
202105180655,Nắng,3.72,-23.02,3,-21.94,25.66,26.02,8106,Tốt
202105180655,Nắng,3.72,-23.67,2.67,-21.61,25.33,26.34,8032,Tốt
202105180655,Nắng,3.72,-25.69,2.39,-23.87,27.59,28.08,8623,Đạt
202105180655,Nắng,3.72,-23.1,2.61,-22.84,26.56,25.71,7809,Tốt
202105180655,Nắng,3.72,-22.45,2.56,-22,25.72,25.01,7458,Tốt
202105180655,Nắng,3.72,-26.78,2.07,-23.87,27.59,28.85,8686,Đạt
202105180655,Nắng,3.72,-24.32,2.1,-22.92,26.64,26.42,8400,Tốt
202105180655,Nắng,3.72,-25.86,1.96,-24.68,28.4,27.82,8315,Đạt
202105180655,Nắng,3.72,-23.67,2.21,-21.8,25.52,25.88,8467,Tốt
202105180655,Nắng,3.72,-24.09,2.31,-22.59,26.31,26.4,8544,Tốt
202105180655,Nắng,3.72,-24.44,1.88,-24.31,28.03,26.32,8293,Đạt
202105180655,Nắng,3.72,-23.88,2.39,-22,25.72,26.27,8350,Tốt
202105180655,Nắng,3.72,-22.84,2.72,-22.52,26.24,25.56,8596,Tốt
202105180655,Nắng,3.72,-22.93,2.74,-22.92,26.64,25.67,8560,Tốt
202105180655,Nắng,3.72,-26.2,2.14,-24.56,28.28,28.34,8784,Đạt
202105180655,Nắng,3.72,-25.69,2.16,-24.81,28.53,27.85,8632,Đạt
202105180655,Nắng,3.72,-22.68,2.74,-23.28,27,25.42,8397,Tốt
202105180655,Nắng,3.72,-24.21,3.23,-22.44,26.16,27.44,9309,Tốt
202105180655,Nắng,3.72,-22.37,2.81,-22.14,25.86,25.18,9223,Tốt
202105180655,Nắng,3.72,-23.38,2.27,-21.61,25.33,25.65,9008,Tốt
202105180655,Nắng,3.72,-22.93,2,-20.45,24.17,24.93,9075,Tốt
202105180655,Nắng,3.72,-24.21,2.53,-22.44,26.16,26.74,9354,Tốt
